No,Species,ITS1,Ref,ITS2,Ref,ITS,Ref,psbA-trnH,Ref,MatK,Ref,trnL-trnF,Ref,rbcL,Ref,ETS,Ref,rpl32,Ref,atpB-rbcL,Ref,TrnE-trnT,Ref,CHS-A,Ref,CHS-D,Ref,ndhF,Ref
45,hildebrandii,,,,,AY047040,Zimmer et al. 2002,,,,,AY047099,Zimmer et al. 2002,,,,,,,,,AY047158,Zimmer et al. 2002,,,,,,
46,hookeri,AF349208,Denduangboripant et al. 2001,AF349289,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
47,hookeri,AF349209,Denduangboripant et al. 2001,AF349290,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
48,humilis,AF349204,Denduangboripant et al. 2001,AF349285,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
49,humilis,AF349205,Denduangboripant et al. 2001,AF349286,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
50,irigaensis,AF349162,,AF349243,,,,,,,,,,,,,,,,,,,,,,,,,
51,javanicus,AF349155,,AF349236,,,,,,,,,,,,,,,,,,,,,,,,,
52,lancilimbus,,,,,HQ632992,Möller et al.,,,,,FJ501499,Möller et al. 2009,,,,,,,,,,,,,,,,
53,lineatus,AF349219,Denduangboripant et al. 2001,AF349300,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
54,lobaticalyx,AF349167,,AF349248,,,,,,,,,,,,,,,,,,,,,,,,,
55,lobaticalyx,AF349168,,AF349249,,,,,,,,,,,,,,,,,,,,,,,,,
56,lobaticalyx,AF349165,,AF349246,,,,,,,,,,,,,,,,,,,,,,,,,
57,longicalyx,,,,,FJ501333,Möller et al. 2009,,,,,HQ632895,Möller et al. 2011,,,,,,,,,,,,,,,,
58,longicaulis,AF349188,Denduangboripant et al. 2001,AF349269,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
59,longicaulis,AF349189,Denduangboripant et al. 2001,AF349270,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
60,longicaulis,,,,,EU919959,Clark et al. 2008,EU920018,Clark et al. 2008,,,,,,,EU919898,Clark et al. 2008,MF509442,Johnson et al. 2017,,,,,,,,,,
61,longiflorus,,,,,,,,,,,AJ492307,Mayer et al. 2003,,,,,,,AJ490920,Mayer et al. 2003,,,,,,,,
62,macranthus,AF349210,Denduangboripant et al. 2001,AF349291,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
63,macranthus,AF349211,Denduangboripant et al. 2001,AF349292,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
64,magnificus,AF349182,Denduangboripant et al. 2001,AF349263,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
65,magnificus,AF349183,Denduangboripant et al. 2001,AF349264,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
66,micranthus,,,,,,,,,,,,,AF170222,Smith 2000,,,,,,,,,,,,,AMU62169,Smith et al. 1997
67,moningeriae,,,,,MF315102,Ling et al. 2017,,,,,MF315108,Ling et al. 2017,,,,,,,,,,,,,,,,
68,moningeriae,,,,,KJ475408,Tao and Kang,,,,,KM232643,Chen and Kang,,,,,,,,,,,,,,,,
69,musaensis,AF349154,,AF349235,,,,,,,,,,,,,,,,,,,,,,,,,
70,myrmecophilus,AF349227,Denduangboripant et al. 2001,AF349308,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
71,nummularius,AF349157,,AF349238,,,,,,,,,,,,,,,,,,,,,,,,,
72,obconicus,AF349164,,AF349245,,,,,,,,,,,,,,,,,,,,,,,,,
73,oxychlamys,AF349159,,AF349240,,,,,,,,,,,,,,,,,,,,,,,,,
74,oxychlamys,AF349160,,AF349241,,,,,,,,,,,,,,,,,,,,,,,,,
75,pachyanthus,AF349186,Denduangboripant et al. 2001,AF349267,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
76,pachyanthus,AF349187,Denduangboripant et al. 2001,AF349268,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
77,pachytrichus,AF349220,Denduangboripant et al. 2001,AF349301,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
78,pachytrichus,AF349221,Denduangboripant et al. 2001,AF349302,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
79,parvifolius,AF349176,,AF349257,,,,,,,,,,,,,,,,,,,,,,,,,
80,parvifolius,AF349177,,AF349258,,,,,,,,,,,,,,,,,,,,,,,,,
81,philippinensis,AF349163,,AF349244,,,,,,,,,,,,,,,,,,,,,,,,,
82,pseudohybridus,AF349222,Denduangboripant et al. 2001,AF349303,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
83,radicans,AF349178,,AF349259,,,,,,,,,,,,,,,,,,,,,,,,,
84,radicans,AF349179,,AF349260,,,,,,,,,,,,,,,,,,,,,,,,,
85,rhododendron,AF349166,,AF349247,,,,,,,,,,,,,,,,,,,,,,,,,
86,roseoflorus,AF349161,,AF349242,,,,,,,,,,,,,,,,,,,,,,,,,
87,roseoflorus,,,,,HQ632993,Möller et al. 2011,,,,,HQ632896,Möller et al. 2011,,,,,,,,,,,,,,,,
88,sikkimensis,AF349214,Denduangboripant et al. 2001,AF349295,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
89,sikkimensis,AF349215,Denduangboripant et al. 2001,AF349296,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
90,solomonensis,,,,,KF148657,Clark et al. 2013,KF148669,Clark et al. 2013,,,,,,,KF148645,Clark et al. 2013,,,,,,,,,,,,
91,solomonensis,,,,,MF446045,Johnson et al. 2017,MF446254,Johnson et al. 2017,,,,,,,MF446150,Johnson et al. 2017,MF509443,Johnson et al. 2017,,,,,,,,,,
92,tricolor,AF349170,,AF349251,,,,,,,,,,,,,,,,,,,,,,,,,
93,tricolor,AF349171,,AF349252,,,,,,,,,,,,,,,,,,,,,,,,,
94,tricolor,,,,,EU919958,Clark et al. 2008,EU920017,Clark et al. 2008,,,,,,,EU919897,Clark et al. 2008,MF509444,Johnson et al. 2017,,,,,,,,,,
95,vinaceus,AF349156,,AF349237,,,,,,,,,,,,,,,,,,,,,,,,,
96,viridiflorus,AF349229,Denduangboripant et al. 2001,AF349310,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
97,viridiflorus,AF349230,Denduangboripant et al. 2001,AF349311,Denduangboripant et al. 2001,,,,,,,,,,,,,,,,,,,,,,,,
98,Agalmyla.glabra ,,,,,MF446047,Johnson et al. 2017,MF446255,Johnson et al. 2017,,,,,,,MF446152,Johnson et al. 2017,MF509447,Johnson et al. 2017,,,,,,,,,,
99,Agalmyla.glabra ,,,,,HQ632989,Möller et al.,,,,,HQ632892,Möller et al.,,,,,,,,,,,,,,,,
100,Agalmyla.clarkei,,,,,FJ501360,Möller et al. 2009,,,,,FJ501540,Möller et al. 2009,,,,,,,,,,,,,,,,
101,Ridleyandra.porphyrantha,,,,,HQ633031,Möller et al.,,,,,FJ501520,Möller et al. 2009,,,,,,,,,,,,,,,,
102,Conandron.ramondioides,,,,,FJ501340,Möller et al. 2009,,,,,FJ501515,Möller et al. 2009,,,,,,,FJ501405,Möller et al. 2009,,,,,,,,
103,Oreocharis.magnidens,,,,,HQ633026,Möller et al.,,,,,HQ632930,Möller et al.,,,,,,,,,,,,,,,,
104,Microchirita.hamosa,,,,,DQ872839,Li and Wang 2007,,,,,FJ501489,Möller et al. 2009,,,,,,,FJ501392,Möller et al. 2009,,,,,,,,
105,Microchirita.hamosa,,,,,JF912551,Weber et al. 2011,,,,,JF912524,Weber et al. 2011,,,,,,,,,,,,,,,,
106,Henckelia.anachoreta,,,,,HQ632966,Möller et al.,,,KJ137903,Li et al. 2015,HQ632870,Möller et al.,,,,,,,,,,,,,,,,
107,Cyrtandra.clarkei,,,,,MF446060,Johnson et al. 2017,MF446268,Johnson et al. 2017,,,,,,,MF446165,Johnson et al. 2017,MF509462,Johnson et al. 2017,,,,,,,,,,
108,Cyrtandra.longifolia,,,,,MF446090,Johnson et al. 2017,MF446298,Johnson et al. 2017,,,FJ501531,Möller et al. 2009,,,MF446195,Johnson et al. 2017,MF509506,Johnson et al. 2017,FJ501413,Möller et al. 2009,,,,,,,,
109,Didissandra.frutescens ,,,,,HQ632952,Möller et al.,,,,,FJ501521,Möller et al. 2009,,,,,,,U91313,Samuel et al. 1997,,,,,,,,
110,Paraboea.swinhoei,,,,,JN934775,Puglisi et al. 2011,,,KJ137899,Li et al. 2015,FJ501475,Möller et al. 2009,KX527130,Chen et al. 2016,,,,,,,,,,,,,,
111,Streptocarpus.dunnii,,,,,AF316951,Möller and Cronk 2001,,,AY061852,Harrison et al.,FJ501456,Möller et al.,,,,,,,,,,,,,,,,
